project line
ansible 15
ansible 3
ansible 5
black 21
black 3
black 4
cookiecutter 1
cookiecutter 3
fastapi 2
fastapi 4
fastapi 5
httpie 2
keras 13
keras 14
keras 17
keras 26
keras 38
keras 39
keras 4
keras 5
keras 6
keras 7
luigi 10
luigi 11
luigi 13
luigi 16
luigi 17
luigi 18
luigi 19
luigi 22
luigi 24
luigi 25
luigi 26
luigi 28
luigi 31
luigi 33
luigi 4
matplotlib 10
matplotlib 24
matplotlib 26
matplotlib 27
matplotlib 28
matplotlib 3
matplotlib 5
matplotlib 7
pandas 1
pandas 10
pandas 106
pandas 115
pandas 116
pandas 117
pandas 121
pandas 134
pandas 135
pandas 139
pandas 140
pandas 150
pandas 152
pandas 155
pandas 25
pandas 28
pandas 30
pandas 33
pandas 39
pandas 4
pandas 48
pandas 5
pandas 50
pandas 58
pandas 59
pandas 6
pandas 61
pandas 64
pandas 69
pandas 74
pandas 76
pandas 78
pandas 82
pandas 88
pandas 89
pandas 96
PySnooper 3
sanic 1
sanic 5
scrapy 11
scrapy 13
scrapy 13
scrapy 18
scrapy 20
scrapy 21
scrapy 27
scrapy 29
scrapy 37
scrapy 4
spacy 4
spacy 5
thefuck 2
thefuck 25
thefuck 27
thefuck 30
thefuck 31
thefuck 32
thefuck 5
thefuck 9
tornado 11
tornado 14
tornado 2
tqdm 1
tqdm 4
tqdm 6
tqdm 7
tqdm 8
youtube-dl 12
youtube-dl 13
youtube-dl 15
youtube-dl 18
youtube-dl 26
youtube-dl 28
youtube-dl 29
youtube-dl 3
youtube-dl 32
youtube-dl 36
youtube-dl 43
















